,company,revenues,revenue_change,profits,assets,industry,sector,country,employees,total_stockholder_equity,Component 1,Component 2
77,Hyundai Motor,80701,-0.8,4659.0,148092,Motor Vehicles and Parts,Motor Vehicles & Parts,South Korea,129315,55639,0.6134368917316824,0.1566383829648991
78,Comcast,80403,7.9,8695.0,180500,Telecommunications,Telecommunications,USA,159000,53943,1.0349502571709808,-0.02939038691976858
79,Credit Agricole,80258,-4.6,3914.7,1607501,Banks: Commercial and Savings,Financials,France,70830,61460,1.7206297745377648,-1.5168465246030356
80,IBM,79919,-3.1,11872.0,117470,Information Technology Services,Technology,USA,414400,18246,1.375077917629311,1.0531463503751681
81,Electricite de France,78740,-5.4,3152.8,297026,Utilities,Energy,France,154808,36319,0.406102133860155,0.27582415057865267
82,Huawei Investment & Holding,78511,24.9,5579.4,63837,Network and Other Communications Equipment,Technology,China,180000,20159,0.24537167690634407,0.36413686941660206
83,Enel,78064,-7.0,2842.0,164096,Utilities,Energy,Italy,62080,36704,0.07562548643486827,0.07394832268422934
84,State Farm Insurance Cos.,76132,0.6,350.3,256030,Insurance: Property and Casualty (Mutual),Financials,USA,68234,87592,0.5245124953041761,-0.14028231289521823
85,China Resources National,75776,-1.0,2580.2,158291,Pharmaceuticals,Health Care,China,420572,23605,0.5946682349845201,1.4663658737985892
86,AEON,75772,11.8,103.9,78223,General Merchandisers,Retailing,Japan,274760,9567,-0.18545499421342881,1.1074440565043076
87,HSBC Holdings,75329,-15.4,2479.0,2374986,Banks: Commercial and Savings,Financials,Britain,241000,175386,3.9276984657242684,-2.0341104203349962
88,Pacific Construction Group,74629,2.2,3168.1,48196,"Engineering, Construction",Engineering & Construction,China,362128,19835,0.37448026687248775,1.3084934334371514
89,Aviva,74628,105.9,948.8,544063,"Insurance: Life, Health (stock)",Financials,Britain,29530,21004,-0.22066660432252178,-0.9697519010803209
90,Tesco,74393,-15.1,-52.7,57052,Food and Drug Stores,Food & Drug Stores,Britain,342770,8011,-0.07421826291865821,1.551300258449913
91,Engie,73692,-4.9,-458.9,167158,Energy,Energy,France,153090,41740,-0.021325892722472987,0.5238898179575315
92,Airbus Group,73628,3.0,1100.3,117204,Aerospace and Defense,Aerospace & Defense,Netherlands,133782,3857,-0.4303484332827691,0.5295411811190566
93,SK Holdings,72579,107.4,659.7,85332,Petroleum Refining,Energy,South Korea,84000,10858,-0.6650651071590163,-0.26414492033814124
94,Phillips 66,72396,-16.9,1555.0,51653,Petroleum Refining,Energy,USA,14800,22390,-0.4497873705096338,0.1430197387616937
95,Johnson & Johnson,71890,2.6,16540.0,141208,Pharmaceuticals,Health Care,USA,126400,70418,1.7729106090221745,-0.6605893339475403
96,Procter & Gamble,71726,-8.9,10508.0,127136,Household and Personal Products,Household Products,USA,105000,57341,1.0219506781622236,-0.27774227402032836
97,U.S. Postal Service,71498,3.7,-5591.0,25219,"Mail, Package, and Freight Delivery",Transportation,USA,574349,-55982,-0.9588225518835491,2.905769506520651
98,China Southern Power Grid,71242,-4.6,2329.8,99187,Utilities,Energy,China,302421,38384,0.41788849702762265,1.0027890087064493
99,China South Industries Group,71151,1.5,580.3,51857,Aerospace and Defense,Aerospace & Defense,China,232817,7508,-0.3074317558495892,0.9736731936091729
100,Lukoil,70897,-16.3,3090.6,82179,Petroleum Refining,Energy,Russia,105500,52783,0.2546627455838573,0.22892471370299988
101,China Communications Construction,70751,4.4,1431.3,146763,"Engineering, Construction",Engineering & Construction,China,152666,14824,-0.23425124711234058,0.4716102727887905
102,Groupe BPCE,70517,25.5,4410.1,1302721,Banks: Commercial and Savings,Financials,France,102827,64820,1.4794771605835473,-1.3966324831051036
103,Sony,70170,3.9,676.4,158519,"Electronics, Electrical Equip.",Technology,Japan,128400,22415,-0.25642455281541016,0.3729037598864087
104,Valero Energy,70166,-14.2,2289.0,46173,Petroleum Refining,Energy,USA,9996,20024,-0.45169184604754153,0.06314941158108728
105,Target,69495,-5.8,2737.0,37431,General Merchandisers,Retailing,USA,323000,10953,0.09777280277573237,1.2295533787792206
106,Societe Generale,69335,-1.1,4284.0,1457753,Banks: Commercial and Savings,Financials,France,151341,65338,1.7278831881984658,-1.2169916363664424
107,Munich Re Group,68700,-1.1,2853.1,282435,Insurance: Property and Casualty (Stock),Financials,Germany,43428,33238,-0.0054287817748987065,-0.2274399119685431
108,Panasonic,67775,6.7,1378.4,53702,"Electronics, Electrical Equip.",Technology,Japan,257533,14109,-0.1428468243812804,0.9321435822817316
109,Nippon Life Insurance,67388,0.4,2786.9,650429,"Insurance: Life, Health (Mutual)",Financials,Japan,85171,17261,0.17461910933527586,-0.391274898854364
110,Zurich Insurance Group,67245,11.0,3211.0,382679,Insurance: Property and Casualty (Stock),Financials,Switzerland,52473,30660,0.06806458784457178,-0.3887731461457664
111,Itau Unibanco Holding,66876,21.4,6666.4,415972,Banks: Commercial and Savings,Financials,Brazil,94779,37680,0.5657905640894125,-0.5435916376281784
112,People’s Insurance Co. of China,66732,3.3,2144.3,134132,Insurance: Property and Casualty (Stock),Financials,China,188570,18145,-0.10423926348428755,0.5375494578843949
113,China National Offshore Oil,65892,-2.8,1752.4,166595,"Mining, Crude-Oil Production",Energy,China,100821,70827,0.34425826781124397,-0.0063282652192094375
114,Marubeni,65792,8.2,1433.7,61904,Trading,Wholesalers,Japan,39952,15113,-0.5878968808771065,0.0550067697965521
115,Deutsche Post DHL Group,65787,-3.8,2918.3,40387,"Mail, Package, and Freight Delivery",Transportation,Germany,459262,11693,0.3663898781134831,1.6887094357420367
116,Freddie Mac,65665,3.4,7815.0,2023376,Diversified Financials,Financials,USA,5982,5075,1.4538478658229261,-2.346173518811194
117,China Post Group,65605,-5.8,4980.3,1221649,"Mail, Package, and Freight Delivery",Transportation,China,941211,43114,2.917738782512078,2.099184702258909
118,China Minmetals,65547,105.6,-446.7,109334,Metals,Materials,China,212406,4631,-0.6247990103119032,0.23427059970184186
119,Lloyds Banking Group,65208,38.2,2784.4,1010245,Banks: Commercial and Savings,Financials,Britain,70433,59327,0.8828291919713991,-1.237335857553947
120,Lowe’s,65017,10.1,3093.0,34408,Specialty Retailers,Retailing,USA,240000,6434,-0.16344919125185842,0.7776087855432444
121,Metro,64853,-9.0,665.0,28039,Food and Drug Stores,Food & Drug Stores,Germany,196540,5978,-0.4613857406718598,0.8633804253094834
122,Dell Technologies,64806,18.1,-1672.0,118206,"Computers, Office Equipment",Technology,USA,138000,13243,-0.6682457649129026,0.48237222068258084
123,China FAW Group,64784,3.1,2411.3,54772,Motor Vehicles and Parts,Motor Vehicles & Parts,China,122323,24489,-0.22497944259780459,0.30554278243017857
124,BASF,63641,-18.6,4485.3,80675,Chemicals,Chemicals,Germany,109543,33545,0.08707727297091013,0.19679307509163738
125,JXTG Holdings,63629,1.8,1477.3,59767,Petroleum Refining,Energy,Japan,26247,12829,-0.6544859500379098,0.029483172537594537
126,MetLife,63476,-9.3,800.0,898764,"Insurance: Life, Health (stock)",Financials,USA,58000,67309,0.7255511672820774,-0.8321864720153387
127,Tewoo Group,63324,-1.4,141.7,34713,Trading,Wholesalers,China,17353,3465,-0.9278039463182772,0.14948358501784093
128,Aetna,63155,4.7,2271.0,69146,Health Care: Insurance and Managed Care,Health Care,USA,49500,17881,-0.47379784198394254,0.02267413989440469
129,PepsiCo,62799,-0.4,6329.0,74129,Food Consumer Products,"Food, Beverages & Tobacco",USA,264000,11095,0.2630227670462917,0.6745827580561475
130,ENI,62694,-32.6,-1619.0,131349,Petroleum Refining,Energy,Italy,33536,55934,-0.3036149375775886,0.16499798848332856
131,China Telecommunications,62387,1.0,1764.6,115819,Telecommunications,Telecommunications,China,413536,50919,0.6648818366075926,1.2719570904665827
132,Archer Daniels Midland,62346,-7.9,1279.0,39769,Food Production,"Food, Beverages & Tobacco",USA,31800,17173,-0.6251462061811343,0.10879966474455258
133,China North Industries Group,61326,-0.5,853.0,53140,Aerospace and Defense,Aerospace & Defense,China,234771,13401,-0.3011624250547382,0.8586895345274292
134,COFCO,61265,-5.0,204.5,72072,Trading,Wholesalers,China,101708,11029,-0.6413845738036502,0.40102324712488013
135,Beijing Automotive Group,61130,11.3,1260.6,57783,Motor Vehicles and Parts,Motor Vehicles & Parts,China,134765,8037,-0.5483628872431412,0.3994858720686572
136,UPS,60906,4.4,3431.0,40377,"Mail, Package, and Freight Delivery",Transportation,USA,335520,405,-0.0374128585350997,1.1397205424656989
137,Anbang Insurance Group,60800,124.0,3883.9,430040,"Insurance: Life, Health (Mutual)",Financials,China,40707,20372,-0.1948164442141555,-1.2065122839236713
138,Peugeot,59749,-1.5,1913.1,47620,Motor Vehicles and Parts,Motor Vehicles & Parts,France,175341,13348,-0.3462144396540481,0.5700803964754182
139,Albertsons Cos.,59678,1.6,-373.3,23755,Food and Drug Stores,Food & Drug Stores,USA,273000,1371,-0.5239593735299567,1.1248942467804663
140,Dai-ichi Life Holdings,59590,-2.5,2134.5,466617,"Insurance: Life, Health (stock)",Financials,Japan,62606,11675,-0.22682319548730107,-0.2883436454624677
141,Sinochem Group,59533,-1.9,468.0,57484,Trading,Wholesalers,China,60576,9195,-0.757720488620862,0.21687728563872194
142,Intel,59387,7.3,10316.0,113327,Semiconductors and Other Electronic Components,Technology,USA,106000,66226,0.9580341237927159,-0.500320595981328
143,Mitsubishi,59303,2.8,4063.5,141402,Trading,Wholesalers,Japan,77164,44137,0.0893588480068622,-0.17924827328426074
144,Auchan Holding,58862,-2.2,652.4,38537,Food and Drug Stores,Food & Drug Stores,France,342709,10593,-0.16599821142740018,1.2967748051250818
145,Aegon,58789,50.5,483.3,448666,"Insurance: Life, Health (stock)",Financials,Netherlands,29380,25647,-0.37070206353420765,-0.6891464427019901
